iter	Passed	Remaining
0	73	73751
1	78	39393
2	86	28862
3	89	22387
4	94	18765
5	99	16449
6	103	1468777	108	1339488	109	12103
9	119	11789
10	122	11010
11	126	10421212	130	9911313	135	9561414	140	9208
15	142	8791616	146	8491717	152	8301
18	154	8001919	158	7772020	162	7592121	169	7522222	173	7370
23	177	7202424	182	7111
25	186	6972626	189	6842727	193	6722828	199	6675
29	203	6584
30	206	6462
31	212	6435
32	217	6380
33	221	6283
34	225	6206
35	231	6200
36	234	6114
37	238	6025
38	242	5964
39	248	5963
40	251	5879
41	255	5821
42	258	5755
43	262	5713444	268	5694
45	272	5643
46	276	5600
47	281	5591
48	285	5533
49	288	5475050	292	5451
51	297	5421
52	300	5377
53	303	5322
54	308	5299
55	313	5278
56	316	5238
57	319	5194
58	325	5194
59	330	5180
60	335	5161
61	337	5113
62	341	5074
63	345	5060
64	349	5023
65	354	5015
66	362	5043
67	367	5039668	371	5016
69	374	4971
70	378	4949
71	381	4919772	385	4897773	390	4897474	395	4887575	399	4857676	403	4837777	407	4817878	412	4817979	418	4814
80	422	4791
81	428	4792
82	431	4768383	434	4738484	437	4708585	441	4698686	446	4688787	450	4678888	457	4680
89	464	4695
90	469	4685
91	476	4705
92	481	4695
93	485	4682
94	490	4672
95	494	4657
96	498	4642
97	501	4619
98	505	4597
99	510	4591
100	513	4573
101	517	4555
102	520	4535
103	525	4529
104	528	4508
105	532	4492
106	536	4477
107	542	4483
108	546	4467
109	549	4446
110	552	4423
111	558	4425
112	562	4416
113	565	4396
114	570	4394
115	575	4385
116	579	4370
117	582	4353
118	588	4357
119	593	4353
120	598	4346
121	600	4322
122	608	4336
123	613	4334
124	617	4319
125	620	4306
126	625	4296
127	628	4282
128	631	4266
129	636	4256
130	640	4249
131	644	4238
132	647	4217
133	652	4213
134	657	4210
135	660	4199
136	664	4183
137	667	4169
138	672	4165
139	675	4146
140	678	4134
141	683	4131
142	688	4126
143	691	4112
144	695	4099
145	698	4087
146	703	4083
147	708	4076
148	713	4074
149	717	4064
150	722	4063
151	726	4052
152	730	4041
153	735	4038
154	740	4034
155	743	4020
156	746	4007
157	752	4008
158	754	3992
159	757	3979
160	761	3969
161	765	3959
162	769	3953
163	772	3939
164	775	3926
165	780	3920
166	784	3913
167	789	3908
168	793	3900
169	797	3894
170	802	3890
171	809	3896
172	813	3886
173	817	3882
174	821	3874
175	825	3863
176	828	3853
177	834	3854
178	837	3841
179	840	3830
180	844	3822
181	849	3818
182	854	3816
183	858	3808
184	863	3804
185	868	3800
186	871	3790
187	874	3776
188	876	3761
189	883	3766
190	890	3770
191	894	3762
192	897	37521193	902	37511194	906	37411195	910	37331196	915	37301197	922	37341198	926	3728
199	928	3715
200	933	3710
201	937	37032202	941	36972203	947	36982204	953	36962205	958	36952206	965	3698
207	969	3692
208	972	3681
209	975	3669
210	979	3662
211	984	3660
212	988	3653
213	992	3645
214	1000	3652
215	1004	3645
216	1008	3638
217	1012	36218218	1016	36219219	1020	36220220	1024	36221221	1027	36222222	1033	35223223	1036	35224224	1039	35225225	1042	35226226	1050	35227227	1053	35228228	1056	35229229	1060	35230	1062	35372231	1066	35292232	1069	3521
233	1073	3515
234234	1081	35235235	1085	32236236	1089	35237237	1095	35238238	1100	35239239	1104	34240240	1107	34241	1109	3476
242242	1117	34243	1118	3466
244244	1125	34245245	1130	34246246	1134	34247247	1141	34248	1143	3447
249	1150	3451
250	1155	3446
251	1159	3441
252252	1168	34253253	1172	34254	1174	3430
255	1179	3427
256	1183	3420
257	1187	3414
258258	1196	34259259	1201	34260260	1204	34261261	1208	34262262	1213	34263263	1219	34264264	1225	33265265	1229	33266266	1234	33267267	1237	33268268	1243	33269269	1250	33270	1250	3363
271	1255	3359
272	1259	3354
273	1264	3349
274	1268	3345
